title,event,date,url
"How to Deploy Infrastructure in Just 13.8 Billion Years",O'Reilly Velocity,11/8/19,https://www.youtube.com/watch?v=WISaPcAwvko
"Everything Has a Resonant Frequency",Radical Networks,9/20/19,https://livestream.com/internetsociety/radnets19/videos/198025233
"When We Look At The Land We Only See Our Own Faces",Code Ecologies (talk is at 1:15:43 in video),12/15/18,https://vimeo.com/342175391
"The True Cost of Living With Computers",Techfestival Copenhagen,10/17/18,https://video.techfestival.co/ingrid-burrington-at-techfestival-2018-the-true
Untitled Talk,The Influencers,8/27/18,https://theinfluencers.org/en/ingrid-burrington
"Everybody Runs",Data & Society,6/17/17,https://www.youtube.com/watch?v=qBkF50pJ7Uo
"Apocalypse, Buffering","Theorizing the Web (panel with Tim Maughan, Jade Davis, and Damien Williams)",4/8/17,https://www.youtube.com/watch?v=kvpI6itVMZ8
"Forever Noon on a Cloudless Day",Sonic Acts,2/17/17,https://www.youtube.com/watch?v=0ZOrAdyYogM
"From Server Farm to Data Table",33rd Chaos Communication Congress, 29 December 2016,https://media.ccc.de/v/33c3-8412-from_server_farm_to_data_table
"In The Realm Of Rough Telepathy",presentation with Meredith Whittaker at Seven on Seven,14 May 2016,https://vimeo.com/167158975
"Come With Me If You Want To Live",dconstruct Festival, 11 September 2015,http://archive.dconstruct.org/2015/timetravel
"It Tends to Annihilate Distance", Eyeo Festival, 3 June 2015,https://vimeo.com/channels/eyeo2015/135608297
"Under Its Spell: Magic, Machines, and Metaphors","Theorizing the Web (panel with Deb Chachra, Damien Williams, Karen Gregory, and Melissa Gira Grant)",17 April 2015,https://youtu.be/iVSXn2d2MI0?t=8m10sï»¿
"Living With Our Daemons", Haunted Machines, 27 February 2015,https://vimeo.com/123926342
Deep Lab Lecture Series, 8 December 2014,Pittsburgh, PA,https://vimeo.com/album/3167394/video/114093718
"Crash Course in Digital Literacy", The Conference, 19 August 2014,http://videos.theconference.se/ingrid-burrington-crash-course-in
"The Black Chamber", Conversation with James Bridle at Eyebeam, 20 May 2014,https://soundcloud.com/eyebeamnyc/one-on-one-conversations-ingrid-burrington-and-james-bridle